https://gitlab.com/infamoustrey/stockify,A stock market monitoring web app,market monitoring
https://gitlab.com/n0mn0m/pyspark-profiling,Examples of using PySpark profiling,ad profiling
https://gitlab.com/meishijiemeimei/admob-for-flash,admob ane for flash air iOS app and actionscript android app.include banner and Interstitial native Advertising.this Admob ANE suport admob 1 and admob 2,native advertising
https://gitlab.com/ivanliu1989/AVAZU-CTR-Prediction,"In online advertising, click-through rate (CTR) is a very important metric for evaluating ad performance. As a result, click prediction systems are essential and widely used for sponsored search and real-time bidding.",sponsored advertising
https://gitlab.com/udtyw156/bloxion,influencer marketing platform,influencer marketing
https://gitlab.com/williamtrungle/trangxtran,"A personal photographer, blogger, and digital marketing influencer's portfolio",influencer marketing
https://gitlab.com/kiran.asman/imp,INFLUENCER MARKETING PLATFORM ,influencer marketing
https://gitlab.com/gopakl/sitsense,"This is a webservice that talks to Pareto in order to get realtime from beacons, so as to make sense of your sitting habits and improve them through analysis",web beacon
https://gitlab.com/atifzaidi/boomerang,End user oriented web performance testing and beaconing,web beacon
https://gitlab.com/rstivers/scavenger-hunt,"Scavenger Hunt Web Portal: Mobile/Touch friendly web portal used to place virtual beacons for scavenger hunt app. Stores normalized coordinate data and item tag, data can be accessed via API.",web beacon
https://gitlab.com/smbale/uribeacon,The Web Uri Open Beacon for the Internet of Things,web beacon
https://gitlab.com/renatasantosf/promobeacon-web,"Projeto desenvolvido para a disciplina de projeto e desenvolvimento da Faculdade Senac Porto Alegre.
",web beacon
https://gitlab.com/andremonteiro/Bonfire,Content distribution based on indoor localization through BLE beacons. Web App and Service are .NET MVC and WCF. Mobile App is Xamarin Forms.,web beacon
https://gitlab.com/angst7/Phatbeacon,nRF52 implementation of Physical Web Fatbeacon,web beacon
https://gitlab.com/soundtrack/webapp,"This Web app will display a ""map"" with beacons and target. Directly fetched from a database",web beacon
https://gitlab.com/nastis/pi_hub,"All code needed to create the raspberry pi hub, that connects via RF24L01 with the arduino beacons, and uses rest api to submit changes to a web server aggragating data.
",web beacon
https://gitlab.com/khalifamhmdkhalifa/LocationBasedAdvertisingApplication,Location Based Advertising Application it uses beacon to identify the location and asp web service to access the stores' data...,web beacon
https://gitlab.com/sdjava/beaconDemo,web beacon,web beacon
https://gitlab.com/overup/boomerang,End user oriented web performance testing and beaconing,web beacon
https://gitlab.com/benmosheron/bens-offer-server,"A Scala project using http4s. Runs a simple http server which allows merchants to post limited time, fixed price offers, which can be queried and cancelled.",limited time offer
https://gitlab.com/VictorOmondi1997/HomeScreen-Website,A timer landing page website. A homepage or landing page with the time that we can interact with and save our name/focus to local storage.,website timer
https://gitlab.com/sokolovdp/34_timemachine,Timer for Websites That Steal Your Time,website timer
https://gitlab.com/PavelShturm85/34_timemachine,Timer for Websites That Steal Your Time,website timer
https://gitlab.com/cubetastic/cubetastic,"Cubetastic is my cubing website, it has lots of cool things, like a web timer with solve-syncing features, and more!",website timer
https://gitlab.com/blackdotsh/UptimeFlare,"Uses uptimerobot for monitoring, if a website is down, automatically switch the IP of an A record to a backup server's IP",website timer
https://gitlab.com/R136a1/gnet,"âš¡ï¸�A high-performance, lightweight, non-blocking, event-driven networking framework written in pure Go.ğŸ”¥
https://github.com/panjf2000/gnet",ip blocking
https://gitlab.com/jcsx/serialport-rs,A cross-platform serial port library in Rust. Provides a blocking I/O interface and port enumeration including USB device information.,ip blocking
https://gitlab.com/horvaro/HostfileAdBlocker-Windows,Hostfile based AD-Blocking for Windows,ip blocking
https://gitlab.com/unknowboy1991/matrix,The complete Blocking lists,ip blocking
https://gitlab.com/johnhandcockandstuff/iDevice-Mobile-Hosts-Blocker,Compilation of hosts blockers for blocking in the DNSCloak iOS application,ip blocking
https://gitlab.com/Perflyst/cloud-firewall,"Cloud Firewall is a browser extension/addon that allows you to toggle blocking ON or OFF for allowing your browser to connect to web pages and web resources (like images, videos) hosted on popular top 5 cloud/companies",ip blocking
https://gitlab.com/I201821180/sre-exercise-sample-app,"A Node.js web server with severe event loop blocking challenges, for use with Snyk's SRE practical exercise.",ip blocking
https://gitlab.com/thatonesysadmin/privacy,"Things pertaining to general privacy, ad blocking, tracking blocking, etc",ip blocking
https://gitlab.com/digitalarc/ublocklist,This is a public list of ADblocking for uBlock Origin,ip blocking
https://gitlab.com/genericdays10/tadarise-60-mg,"<a href=""https://www.genericday.com/tadarise-60-mg.html"">TADARISE 60 MG</a> is a holy-replica of Tadalafil-based Cialis medicines which are used for blocking PDE5 enzymes and regulating the blood flow in the penises stuck by erectile dysfunction (ED)",ip blocking
https://gitlab.com/flapedriza/90dns,NX DNS setup with BIND9 and nginx for blocking all Nintendo servers.,ip blocking
https://gitlab.com/ferrettim/itsybitsycloud,"ItsyBitsyCloud is a simple project to get a home cloud setup for calendar/contact/file backups, news, network ad blocking, and shared password management up and running quickly on a Raspberry Pi via docker.",ip blocking
https://gitlab.com/my-privacy-dns/rpz-dns-firewall-tools/hosts,This is where you'll find the rather outdated way of blocking bad guys.,ip blocking
https://gitlab.com/pizdec/softether-vpn-server-with-adblocking,"SoftEther VPN Server install for Ubuntu/Debian/Centos
includes adblocking dnsmasq and support for custom opened ports",ip blocking
https://gitlab.com/mikeramsey/softether-vpn-server-with-adblocking,"SoftEther VPN Server install for Ubuntu/Debian/Centos
includes adblocking dnsmasq and support for custom opened ports",ip blocking
https://gitlab.com/fanboystudios/baddieblock-for-pihole,"The Complete PiHole Blacklist For Blocking Bad Things Online Including: Advertisements, Malware, Spyware, Scams, Porn, and Other Undesirable Content!",ip blocking
https://gitlab.com/owenallsopp/arachnid,Non-blocking HTTP server,ip blocking
https://gitlab.com/genericnew101/bytadarise-60-mg,"TADARISE  60 MGis a holy-replica of Tadalafil-based Cialis medicines which are used for blocking PDE5 enzymes. Check out <a href=""https://www.genericday.com/tadarise-60-mg.html"">Tadarise 60mg Reviews</a>",ip blocking
https://gitlab.com/0njzy0/90dns,NX DNS setup with BIND9 and nginx for blocking all Nintendo servers.,ip blocking
https://gitlab.com/xiaonanhailili/OkSocket,An blocking socket client for Android applications.,ip blocking
https://gitlab.com/RedisGeek/serialport-rs,A cross-platform serial port library in Rust. Provides a blocking I/O interface and port enumeration including USB device information.,ip blocking
https://gitlab.com/Hakerh400/ultra-block,Advertisement blocking extension for Google Chrome,ip blocking
https://gitlab.com/franklopeslr/hiawatha,"Hiawatha is an open source webserver with security, easy to use and lightweight as the three key features. Hiawatha supports among others (Fast)CGI, IPv6, URL rewriting and reverse proxy. It has security features no other webserver has, like blocking SQL injections, XSS and CSRF attacks and exploit attempts. The built-in monitoring tool makes it perfect for large scale deployments.

Hiawatha project website: https://www.hiawatha-webserver.org/",ip blocking
https://gitlab.com/genericlive/tadarise-60-mg,"TADARISE  60 MGis a holy-replica of Tadalafil-based Cialis medicines which are used for blocking PDE5 enzymes and regulating the blood flow in the penises stuck by erectile dysfunction (ED). Check out <a href=""https://www.genericday.com/tadarise-60-m",ip blocking
https://gitlab.com/MaxValue/Ad-Filters,Various custom ad-blocking filters with focus on Austrian websites. Tested for use with AdNauseam.,ip blocking
https://gitlab.com/genericnew101/tadarise-60-mg,"<a href=""https://www.genericday.com/tadarise-60-mg.html"">TADARISE 60 MG</a> is a holy-replica of Tadalafil-based Cialis medicines which are used for blocking PDE5 enzymes and regulating the blood flow in the penises stuck by erectile dysfunction (ED)",ip blocking
https://gitlab.com/sinadarvi/blocking-car-ai,Blocking car AI project with uninformed and informed searching,ip blocking
https://gitlab.com/Kooroshh/SpotifyADBlocker,Simple Proxy Server for Blocking Spotify ads,ip blocking
https://gitlab.com/howar31/prank_credit_card_scan,"Fake credit card scan prank
https://howar31.gitlab.io/prank_credit_card_scan",fake credit
https://gitlab.com/gavz/35c3ctf_nokia,"Soruce code, infrastructure and exploits for the 35C3 CTF challenges newphonewhodis and identitytheft",Identity theft
https://gitlab.com/vladivanov/equifax-breach-remediation-recipe,What to do to protect yourself from identity theft and credit fraud following Equifax secitoty breach.,Identity theft
https://gitlab.com/Oliichi42/git-me,"Very simple, very straightforward identity management for git and protection against committing in an unintended user.",identity protection
https://gitlab.com/viga.23/clase-phising,Una breve explicacion de como crear un pishing.,pishing
https://gitlab.com/jan_marcel/fraud-detection,You are a contract data scientist/consultant hired by a new e-commerce site to try to weed out fraudsters. The company's expences increase if a customer buys tickets for a fraud event. Because by law the refund is expected. ,e-commerce fraud
https://gitlab.com/empreendedorismodigital/prioriza,Aplicativo que auxilia pessoas com dívidas e que buscam entender sobre finanças pessoais.,scam
https://gitlab.com/cse-578/beaglevis,Lessons Learned Developing a Visual Analytics Solution for Investigative Analysis of Scamming Activities,scam
https://gitlab.com/elmer07/leerexce_sopadeletrasl,buscamos una palabra en una matriz Excel,scam
https://gitlab.com/jdleo/Sagi,"A free Chrome extension that uses deep text analysis to determine if an ICO is a scam or not. Trained against a dataset of confirmed ""legit"" ICOs and confirmed ""scam"" ICOs.",scam
https://gitlab.com/fanboystudios/baddieblock-for-pihole,"The Complete PiHole Blacklist For Blocking Bad Things Online Including: Advertisements, Malware, Spyware, Scams, Porn, and Other Undesirable Content!",scam
https://gitlab.com/frnmst-mirrors/fattura-elettronica-reader,"Validate, extract, and generate printables of electronic invoice files received from the ""Sistema di Interscambio"". ",scam
https://gitlab.com/amaury.feron/security_scampus_projet,"security subject: its a CTF (Capture Of Flag) 
",scam
https://gitlab.com/pablosherrerog/bachelorthesiscameracolortracker,Used to track colors from webcam or kinect camera (by default webcam camera (without depth)) and sent the coordinates with UDP.,scam
https://gitlab.com/clothildepetry/scampi-twig,"Outil simple avec Twig et Sass (bibliothèque Scampi) pour monter des pages statiques. Cet outil servira essentiellement à créer des gabarits d'intégration.

https://pidila.gitlab.io/scampi-twig/",scam
https://gitlab.com/cordovaproyect/thanoscam,Una simple aplicación con cordova que realiza un efecto difuminado a una foto.,scam
https://gitlab.com/oksendev/plog,Flutter App for CSCAMP Flutter Sessions,scam
https://gitlab.com/gt3ch1/rfnb,Just a little fake banking app to mess with scammers,scam
https://gitlab.com/pronaturaveracruz/siscamtra,Sistema para la identificación de fotografías y videos capturados por cámaras trampa.,scam
https://gitlab.com/cantry/scamsiteevaluator,check sites if the common scripts images which are copied to many scam sites,scam
https://gitlab.com/luglioB/blueit-analytics-docker-compose,Repository per lo scambio di docker-compose files,scam
https://gitlab.com/YohSambre/snte--scammers-list,to understand this list please read first of all this >LINK STEAM,scam
https://gitlab.com/ecoPortal/devise_invitable,Fork of https://github.com/scambra/devise_invitable,scam
https://gitlab.com/fvdm/nodejs-foscam,"Remote control, view and config a Foscam or compatible IP camera",scam
https://gitlab.com/fvdm/FoscamTouch,Touch frontend for Foscam/Tenvis network camera,scam
https://gitlab.com/akashraj98/fuel-hook,Fuel monitoring system to minimise fuel related scam ,scam
https://gitlab.com/tusharmalik/fuel-hook,Fuel monitoring system to minimise fuel related scam ,scam
https://gitlab.com/KaiTiggy/GSCampusMap-iOS,WIP – Georgia Southern Campus Map for iOS,scam
https://gitlab.com/akashraj98/fuel-hook,Fuel monitoring system to minimise fuel related scam ,scam monitoring
https://gitlab.com/tusharmalik/fuel-hook,Fuel monitoring system to minimise fuel related scam ,scam monitoring
https://gitlab.com/deletos/devopscamp-challenge-monitoring,Creating monitoring setup in order to trigger health/sanitychecks to a website  ,scam monitoring
https://gitlab.com/mapbuh/camera-arm,A script which will disable/enable FOSCAM FL9831W (and few others which use the same CGI API) motion detection whenever certain devices are found in the network.,scam detection
https://gitlab.com/akashraj98/fuel-hook,Fuel monitoring system to minimise fuel related scam ,scam monitor
https://gitlab.com/tusharmalik/fuel-hook,Fuel monitoring system to minimise fuel related scam ,scam monitor
https://gitlab.com/deletos/devopscamp-challenge-monitoring,Creating monitoring setup in order to trigger health/sanitychecks to a website  ,scam monitor
https://gitlab.com/Guillawme/terms-of-service-CI-boilerplate,Terms of Service or Privacy Policy Boilerplate using Latex & Markdown with  Gitlab Continuous Integration,terms of service
https://gitlab.com/Palmberg/tosplainer,Chrome extension for shortening terms of service text,terms of service
https://gitlab.com/MindsGaming/terms-of-service,Official documentation of Minds policies. ,terms of service
https://gitlab.com/valleylion/terms-of-service,Official documentation of Minds policies. ,terms of service
https://gitlab.com/komal.traveltourister/hotel-booking-in-nagpur,"We renders hotel services to our clients in widely manner depends on the preference of our clients in terms of reception,guests room services including food services as well accommodations in the best manner.
http://www.aranyatours.com/our-services/h",terms of service
https://gitlab.com/medworthy/terms-of-service,Official documentation of Minds policies. ,terms of service
https://gitlab.com/neetu.traveltourister/air-ticket-booking-agent-in-kolkata,"We provides the best services in terms of the domestic as well international ticketing for our clients to makes your trip hassle and comfortable in your lifetime http://www.vedahamtourstravels.in/services/air-ticketing
",terms of service
https://gitlab.com/neetu.traveltourister/tour-operators-in-kolkata,"We offers the best tour packages in terms of the accommodations, foods and cuisine, sightseeing and booking of their trip for domestic as well international airlines to makes your trip http://www.vedahamtourstravels.in/services/tour-operator
",terms of service
https://gitlab.com/minds/terms-of-service,Official documentation of Minds policies. ,terms of service
https://gitlab.com/komal.traveltourister/hotel-booking-agent-in-andaman,"We provides the best accommodations where you have the best services and makes your trip the most best and high quality services in terms of stays and foods.
http://www.travelagentinportblair.com/services/hotel-booking",terms of service
https://gitlab.com/AdrienneCohea/phoenixcommunity,"An exercise in pissing off bootlicking capitalists who want to enforce ""terms of service"" or some bullshit.",terms of service
https://gitlab.com/LeeDoHyun/terms-of-service,SwiftNode Terms of Service,terms of service
https://gitlab.com/Spence/Hybrid-Cloud-Applications-and-Services,"A hybrid cloud model blends elements of both the private and the public cloud. In the simplest terms, the hybrid model is primarily a private cloud that allows an organization to tap into a public cloud when and where it makes sense. This code shows you how to expose your on-premise applications and services to public cloud, and vice versa.",terms of service
https://gitlab.com/jankovec/deal-steal,Web service for comparing online sales offers in terms of quality and affordability relative to other offers.,terms of service
https://gitlab.com/milton_rincon/website-terms-of-service,html website with a dummy of terms and conditions of service: https://miltonrincon.github.io/website-terms-of-service/,terms of service
https://gitlab.com/HammondCaseyM/terms-of-service-game,Game based on Vue.js that helps to educate about terms of service,terms of service
https://gitlab.com/jake-windle/terms-of-service-game,Game based on Vue.js that helps to educate about terms of service,terms of service
https://gitlab.com/Druzyna-A/KnowledgeBase,3rd RSI module - knowledge base. Integration with 3rd party services and websites in terms of information about products/services offered by RSI project.,terms of service
https://gitlab.com/vfulco/terms-of-service-CI-boilerplate,Terms of Service or Privacy Policy Boilerplate using Latex & Markdown with  Gitlab Continuous Integration,terms of service
https://gitlab.com/Zipier/legal,"Publicly accessible master copy of Zipier's Terms of Service (ToS), Privacy policy, and Copyright policy.",terms of service
https://gitlab.com/dimitrieh/terms-of-service-CI-boilerplate,Terms of Service or Privacy Policy Boilerplate using Latex & Markdown with  Gitlab Continuous Integration,terms of service
https://gitlab.com/BITS-Pilani-Hyderabad-Campus/Bits-Internet-Accessibility-Supervisor,Monitors Internet activity in the campus with automated login for Windows.,Internet accessibility
https://gitlab.com/563712793/axe-core,Accessibility engine for automated Web UI testing,web accessibility
https://gitlab.com/radhefa2/wcag,Web Content Accessibility Guidelines,web accessibility
https://gitlab.com/jnickgo/axe-selenium-webdriver,An exploratory sample application that utilized Selenium WebDriver and aXe for automated accessibility testing.,web accessibility
https://gitlab.com/ccrpc/access-score,"Accessibility scores for walking, biking, bus, and driving using
Web Map GL.",web accessibility
https://gitlab.com/huarxia/PIGNOSE-Tab,jQuery tab plugin supporting web accessibility.,web accessibility
https://gitlab.com/mortezaomidi/access-route,"A mapping website that calculates routes around accessibility obstacles, written in django and postgis",web accessibility
https://gitlab.com/jacktheclicker/wcag,Web Content Accessibility Guidelines,web accessibility
https://gitlab.com/101-side/accessibility,Web Accessibility,web accessibility
https://gitlab.com/pikselkraft/npm-scripts-boilerplate-XL,"This boilerplate is made for the front-end developer who wants to develop 100% custom template. It uses the last web standards and focuses on quality, accessibility and workflow optimisation.",web accessibility
https://gitlab.com/18runt88/wcag-em-report-tool,Interactive Guide to Assist Managing Web Accessibility Evaluations,web accessibility
https://gitlab.com/johnantoni/axe-core,Accessibility engine for automated Web UI testing,web accessibility
https://gitlab.com/vigou3/ime-2017-insurance-of-things,"A foray into the Insurance of Things, Or pricing individual objects without prior data - IME 2017",individual pricing
